L T M error tau
4 2.0 97.92814371257485 5.011294 0.962315879097488
4 2.0933333333333333 219.8003992015968 3.158775 0.8812134921491876
4 2.1866666666666665 216.67065868263472 3.792781 0.9602578612554238
4 2.28 205.8243512974052 4.868573 1.7046979865771812
4 2.373333333333333 195.81636726546907 4.633495 1.2536359415406428
4 2.466666666666667 175.53692614770458 5.454317 1.270233688011962
4 2.56 176.77045908183632 5.046772 1.1607406608715882
4 2.6533333333333333 163.06187624750498 5.520344 1.1623944785577862
4 2.7466666666666666 144.60678642714572 6.325683 1.7226825547138045
4 2.84 133.2814371257485 5.782309 1.2028681174409808
4 2.933333333333333 115.72455089820359 5.884399 1.4940168949948898
4 3.0266666666666664 131.38522954091817 5.496345 1.0851998755724936
4 3.12 126.63073852295409 5.458193 1.2266696754102104
4 3.213333333333333 108.6187624750499 5.150898 0.9354815478789826
4 3.3066666666666666 94.68662674650699 4.907834 1.0914394497666413
4 3.4 93.32534930139721 4.767759 0.75327207211154
8 2.0 462.61477045908185 34.337341 2.497865799165453
8 2.0933333333333333 3401.576846307385 54.657512 2.994307077052191
8 2.1866666666666665 3467.193612774451 29.302802 2.0294197292707454
8 2.28 2726.2355289421157 77.272113 3.052197791340504
8 2.373333333333333 2677.7245508982037 43.200127 2.1357169314073965
8 2.466666666666667 2246.998003992016 85.183847 3.1246525597214734
8 2.56 1810.4311377245508 84.536869 3.16609745838075
8 2.6533333333333333 2055.0738522954093 80.320213 3.182998065937415
8 2.7466666666666666 1389.1736526946108 73.542857 3.1434300836306446
8 2.84 1144.5508982035929 66.264951 3.0329948764014594
8 2.933333333333333 931.185628742515 66.1382 2.9955323449197055
8 3.0266666666666664 839.7445109780439 63.74794 2.9499034360588814
8 3.12 622.0838323353294 51.247476 2.7844325284518554
8 3.213333333333333 786.4271457085829 53.824923 2.734128838463269
8 3.3066666666666666 531.2974051896208 60.158908 3.0186617032439043
8 3.4 411.84031936127747 40.902703 2.7817766924408596
12 2.0 2064.63872255489 95.863128 2.9461258857146326
12 2.0933333333333333 16983.06986027944 152.276725 2.9957105591225823
12 2.1866666666666665 16579.900199600797 176.887349 3.0951344475234377
12 2.28 13015.828343313373 382.530112 3.446138200062442
12 2.373333333333333 12694.730538922156 279.171312 3.306148276434179
12 2.466666666666667 12020.890219560879 241.479477 3.222016174314233
12 2.56 10189.952095808383 285.438294 3.323427709464379
12 2.6533333333333333 8026.243512974052 264.035492 3.331847626218664
12 2.7466666666666666 5586.119760479042 334.774939 3.435078032777046
12 2.84 4967.780439121757 268.715842 3.3760365393712646
12 2.933333333333333 2167.7964071856286 177.160262 3.3134310399186564
12 3.0266666666666664 4110.934131736527 231.806284 3.293520478539301
12 3.12 1658.2395209580839 48.977178 2.86028395332536
12 3.213333333333333 2318.2195608782436 143.190151 3.106920492928234
12 3.3066666666666666 1901.868263473054 96.487483 3.018075929452317
12 3.4 1780.0199600798403 167.368881 3.2587970318498556
16 2.0 4922.2874251497005 228.198877 3.2462707386058534
16 2.0933333333333333 55556.04790419162 384.33883 3.3114921368957853
16 2.1866666666666665 53839.25748502994 434.768653 3.363331039576987
16 2.28 50974.69061876248 359.7095 3.130522543141297
16 2.373333333333333 47824.04391217565 395.793341 3.2391370666867365
