L T order error tau
4 2.0 0.5103542914171657 0.017639 1.0231479037081288
4 2.0933333333333333 0.9237774451097804 0.009186 1.0132474225741352
4 2.1866666666666665 0.9011976047904192 0.010921 1.1753877546590246
4 2.28 0.8535429141716567 0.014804 1.4000178826008527
4 2.373333333333333 0.8677644710578842 0.013092 1.3252532938812052
4 2.466666666666667 0.8042664670658682 0.015471 1.2603917261577882
4 2.56 0.780938123752495 0.01722 1.4861926451918588
4 2.6533333333333333 0.7221806387225549 0.019331 1.090503534183263
4 2.7466666666666666 0.6999750499001997 0.018005 1.144580925999719
4 2.84 0.7025948103792415 0.016645 1.113344340966791
4 2.933333333333333 0.6407185628742516 0.017323 0.8988538682860074
4 3.0266666666666664 0.6027944111776448 0.017392 0.7273580640088066
4 3.12 0.56312375249501 0.01941 1.2847225056342304
4 3.213333333333333 0.5736027944111777 0.016032 0.29764897322576667
4 3.3066666666666666 0.5361776447105788 0.018381 0.985029480148703
4 3.4 0.5150948103792415 0.017983 0.8913624979777255
8 2.0 0.30517090818363274 0.014758 2.6924661123529514
8 2.0933333333333333 0.9075910678642715 0.003675 1.6559324952643362
8 2.1866666666666665 0.8895646207584831 0.010118 3.051569465834874
8 2.28 0.7474114271457086 0.02369 3.3772701626205848
8 2.373333333333333 0.8067926646706587 0.011027 2.9898387859652447
8 2.466666666666667 0.6820109780439122 0.015492 3.1856055060201527
8 2.56 0.5828343313373253 0.018087 3.1275871502227055
8 2.6533333333333333 0.592377744510978 0.020752 3.2118416484691927
8 2.7466666666666666 0.6197916666666666 0.017197 3.087459331474933
8 2.84 0.4971619261477046 0.018188 3.056995250770745
8 2.933333333333333 0.3530127245508982 0.017767 2.9693370451367906
8 3.0266666666666664 0.3712886726546906 0.014326 2.7325350723769057
8 3.12 0.3861027944111776 0.015755 2.6777913353110043
8 3.213333333333333 0.37344061876247503 0.018366 2.941998484762266
8 3.3066666666666666 0.29949476047904194 0.017233 2.8147672533931742
8 3.4 0.25474051896207583 0.010777 2.180385472975823
12 2.0 0.19448602794411177 0.011554 3.1903786976447406
12 2.0933333333333333 0.9116073408738079 0.003396 3.035567384548405
12 2.1866666666666665 0.8696218673763584 0.010887 3.4106558766487605
12 2.28 0.8642160124196052 0.005659 3.1268370073480263
12 2.373333333333333 0.7665779552007097 0.013658 3.4406175268632824
12 2.466666666666667 0.6083943224661787 0.009634 3.301322791514215
12 2.56 0.543579507651364 0.015067 3.423802495193322
12 2.6533333333333333 0.23756653359946772 0.013899 3.3186980812931495
12 2.7466666666666666 0.5742958527389666 0.009182 3.2424380963436974
12 2.84 0.2919993346640053 0.008621 3.022451518009354
12 2.933333333333333 0.3329868041694388 0.015223 3.3609654538799343
12 3.0266666666666664 0.33779662896429363 0.010998 3.210546502256444
12 3.12 0.2917221113328898 0.012309 3.2906278842859984
12 3.213333333333333 0.2391189842537148 0.008157 2.854760657702563
12 3.3066666666666666 0.18876136615657574 0.011537 3.2486235270564876
12 3.4 0.1917831004657352 0.009882 3.0622591197848514
16 2.0 0.12793943363273452 0.005819 3.1411116711544773
16 2.0933333333333333 0.9231225049900199 0.003657 3.380405785092166
16 2.1866666666666665 0.835999875249501 0.005779 3.4331689785203596
16 2.28 0.8672732659680639 0.006835 3.481576319102648
16 2.373333333333333 0.7316616766467066 0.011895 3.5012938648209824
16 2.466666666666667 0.5109468562874252 0.014228 3.504691314644897
16 2.56 0.5442942240518962 0.014267 3.511811344489149
16 2.6533333333333333 0.5451128992015968 0.009434 3.3929844328734955
16 2.7466666666666666 0.26261539421157687 0.006115 3.205579869027325
16 2.84 0.5208957085828343 0.016678 3.5109112675177565
16 2.933333333333333 0.3203358907185629 0.015157 3.4932237475023795
16 3.0266666666666664 0.1948368887225549 0.008467 3.3730678498050657
